stage,encoder_hidden,depth,dropout,lr,weight_decay,seed,best_val_mse,best_epoch,epochs_ran
A,"(256, 128, 64)",3,0.1,0.0003,1e-05,0,1.1318413317203522,109,134
A,"(256, 128, 64)",3,0.1,0.0003,0.0,0,1.1318413317203522,109,134
A,"(256, 128, 64)",3,0.2,0.001,0.001,0,1.1326294541358948,56,81
A,"(512, 256, 128, 64)",4,0.2,0.003,0.0001,0,1.132895901799202,19,44
A,"(256, 128, 64)",3,0.1,0.0003,0.001,0,1.132918819785118,109,134
A,"(256, 128, 64)",3,0.1,0.003,1e-05,0,1.1331870704889297,29,54
A,"(512, 256, 128, 64)",4,0.2,0.003,1e-05,0,1.1332702934741974,19,44
A,"(256, 128, 64)",3,0.1,0.0003,0.0001,0,1.133348360657692,109,134
A,"(512, 256, 128, 64)",4,0.2,0.003,0.001,0,1.1344587951898575,19,44
A,"(512, 256, 128, 64)",4,0.2,0.003,0.0,0,1.1346604973077774,19,44
A,"(256, 256)",2,0.1,0.0003,0.001,0,1.1353964060544968,140,165
A,"(256, 256)",2,0.1,0.0003,0.0001,0,1.1355099231004715,140,165
A,"(256, 256)",2,0.1,0.0003,1e-05,0,1.1357654184103012,140,165
A,"(256, 256)",2,0.1,0.0003,0.0,0,1.1357654184103012,140,165
A,"(128,)",1,0.1,0.003,0.001,0,1.147277593612671,100,125
A,"(128,)",1,0.1,0.003,0.0,0,1.1476152837276459,100,125
A,"(128,)",1,0.1,0.003,1e-05,0,1.1477298140525818,100,125
A,"(128,)",1,0.2,0.003,1e-05,0,1.1528955549001694,84,109
A,"(128,)",1,0.2,0.003,0.0,0,1.1532399505376816,84,109
A,"(128,)",1,0.2,0.003,0.001,0,1.1540005207061768,84,109
A,"(128,)",1,0.2,0.003,0.0001,0,1.1545245945453644,87,112
A,"(512, 256, 128)",3,0.2,0.0003,0.001,0,1.1573875695466995,77,102
A,"(512, 256, 128)",3,0.2,0.0003,0.0001,0,1.1580160111188889,77,102
A,"(512, 256, 128)",3,0.2,0.0003,1e-05,0,1.1581445187330246,77,102
A,"(512, 256, 128)",3,0.2,0.0003,0.0,0,1.1581445187330246,77,102
A,"(128,)",1,0.1,0.001,1e-05,0,1.161642625927925,156,181
A,"(128,)",1,0.1,0.001,0.0,0,1.161642625927925,156,181
A,"(128,)",1,0.1,0.001,0.0001,0,1.161645084619522,156,181
A,"(128,)",1,0.1,0.001,0.001,0,1.161878302693367,156,181
A,"(128,)",1,0.1,0.003,0.0001,0,1.1643673181533813,107,132
A,"(128,)",1,0.2,0.001,0.0,0,1.1717467457056046,198,200
A,"(128,)",1,0.2,0.001,1e-05,0,1.1717467457056046,198,200
A,"(128,)",1,0.2,0.001,0.0001,0,1.173935905098915,166,191
A,"(256, 128, 64)",3,0.2,0.0003,0.001,0,1.1745778322219849,123,148
A,"(128,)",1,0.2,0.001,0.001,0,1.1747348755598068,166,191
A,"(256, 128, 64)",3,0.2,0.0003,0.0,0,1.1747748404741287,123,148
A,"(256, 128, 64)",3,0.2,0.0003,1e-05,0,1.1747748404741287,123,148
A,"(256, 128, 64)",3,0.2,0.0003,0.0001,0,1.1754744499921799,123,148
A,"(512, 256, 128, 64)",4,0.2,0.0003,0.0001,0,1.1804775297641754,50,75
A,"(512, 256, 128, 64)",4,0.2,0.0003,0.0,0,1.181484043598175,75,100
A,"(512, 256, 128, 64)",4,0.2,0.0003,1e-05,0,1.181484043598175,75,100
A,"(512, 256, 128, 64)",4,0.2,0.0003,0.001,0,1.1847699731588364,75,100
A,"(128,)",1,0.0,0.0003,0.0001,0,2.5703803300857544,200,200
A,"(128,)",1,0.0,0.0003,0.0,0,2.570480167865753,200,200
A,"(128,)",1,0.0,0.0003,1e-05,0,2.570480167865753,200,200
A,"(128,)",1,0.0,0.0003,0.001,0,2.5706193447113037,200,200
A,"(128,)",1,0.1,0.0003,1e-05,0,2.6445433497428894,200,200
A,"(128,)",1,0.1,0.0003,0.0,0,2.6445433497428894,200,200
A,"(128,)",1,0.1,0.0003,0.0001,0,2.6447542905807495,200,200
A,"(128,)",1,0.1,0.0003,0.001,0,2.6452868580818176,200,200
A,"(128,)",1,0.2,0.0003,1e-05,0,2.710330307483673,200,200
A,"(128,)",1,0.2,0.0003,0.0,0,2.710330307483673,200,200
A,"(128,)",1,0.2,0.0003,0.0001,0,2.710549771785736,200,200
A,"(128,)",1,0.2,0.0003,0.001,0,2.710870921611786,200,200
