method,year,sample,mse,mae,rmse,n
full_finetune,2011,43,0.512718141078949,0.5900028944015503,0.7160433932932759,32
full_finetune,2011,44,0.8329105973243713,0.6782164573669434,0.9126393577554999,32
full_finetune,2011,45,0.7256008386611938,0.5887832045555115,0.8518220698368844,32
full_finetune,2011,46,0.569786012172699,0.6038079261779785,0.7548417133231966,32
full_finetune,2011,47,0.39887404441833496,0.47122398018836975,0.6315647586893485,32
full_finetune,2011,48,0.691781222820282,0.6161980628967285,0.831733865380196,32
full_finetune,2011,49,0.8471819162368774,0.7231015563011169,0.9204248563771392,32
full_finetune,2012,0,0.8921626210212708,0.7796191573143005,0.9445436046161505,32
full_finetune,2012,1,0.821089506149292,0.6510946750640869,0.9061398932556121,32
full_finetune,2012,2,1.021907091140747,0.7120417356491089,1.0108942037328867,32
full_finetune,2012,3,0.9336747527122498,0.7491858005523682,0.9662684682386411,32
full_finetune,2012,4,0.9598750472068787,0.6818376779556274,0.9797321303330205,32
full_finetune,2012,5,0.45825424790382385,0.5569957494735718,0.6769447894059188,32
full_finetune,2012,6,0.5150803923606873,0.5410280227661133,0.7176910145464322,32
full_finetune,2012,7,0.8189906477928162,0.7043552398681641,0.9049810206809954,32
full_finetune,2012,8,0.638416051864624,0.6354447603225708,0.7990094191338573,32
full_finetune,2012,9,0.6237608790397644,0.600038468837738,0.7897853373162637,32
full_finetune,2012,10,0.8414329290390015,0.5929171442985535,0.9172965327738907,32
full_finetune,2012,11,0.7185832262039185,0.6360993981361389,0.8476928843655103,32
full_finetune,2012,12,0.9473078846931458,0.5762741565704346,0.9732974286892706,32
full_finetune,2012,13,1.5764999389648438,0.7775508165359497,1.2555874875789594,32
full_finetune,2012,14,1.4646538496017456,0.8369256258010864,1.210228841831885,32
full_finetune,2012,15,0.49261948466300964,0.5480048656463623,0.7018685665158468,32
full_finetune,2012,16,0.3332391083240509,0.4722273349761963,0.5772686621704411,32
full_finetune,2012,17,1.0315650701522827,0.6996617913246155,1.0156599185516197,32
full_finetune,2012,18,0.9951639175415039,0.7141678333282471,0.9975790282185687,32
full_finetune,2012,19,0.36702752113342285,0.4867633879184723,0.6058279633141928,32
full_finetune,2012,20,2.1371946334838867,0.9858214259147644,1.461914714846214,32
full_finetune,2012,21,1.099257230758667,0.711380660533905,1.0484546870316651,32
full_finetune,2012,22,0.5166997313499451,0.5162715911865234,0.7188182881298618,32
full_finetune,2012,23,1.408217430114746,0.7525588274002075,1.1866833739944056,32
full_finetune,2012,24,0.6855524778366089,0.6475505232810974,0.8279809646583723,32
full_finetune,2012,25,0.41644054651260376,0.5416852831840515,0.6453220486800398,32
full_finetune,2012,26,0.3318256139755249,0.47537872195243835,0.5760430660771162,32
full_finetune,2012,27,1.4198238849639893,0.8358733654022217,1.1915636302623496,32
full_finetune,2012,28,0.3707488775253296,0.5006676912307739,0.6088915153993605,32
full_finetune,2012,29,0.42838171124458313,0.5078672170639038,0.6545087556668613,32
